RowNumber;CustomerId;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited;Geography_codes;Gender_codes
1;15634602;619;France;Female;42;2;0;1;1;1;10134888;1;0;0
2;15647311;608;Spain;Female;41;1;8380786;1;0;1;11254258;0;2;0
3;15619304;502;France;Female;42;8;1596608;3;1;0;11393157;1;0;0
4;15701354;699;France;Female;39;1;0;2;0;0;9382663;0;0;0
5;15737888;850;Spain;Female;43;2;12551082;1;1;1;790841;0;2;0
6;15574012;645;Spain;Male;44;8;11375578;2;1;0;14975671;1;2;1
7;15592531;822;France;Male;50;7;0;2;1;1;100628;0;0;1
8;15656148;376;Germany;Female;29;4;11504674;4;1;0;11934688;1;1;0
9;15792365;501;France;Male;44;4;14205107;2;0;1;749405;0;0;1
10;15592389;684;France;Male;27;2;13460388;1;1;1;7172573;0;0;1
11;15767821;528;France;Male;31;6;10201672;2;0;0;8018112;0;0;1
12;15737173;497;Spain;Male;24;3;0;2;1;0;7639001;0;2;1
13;15632264;476;France;Female;34;10;0;2;1;0;2626098;0;0;0
14;15691483;549;France;Female;25;5;0;2;0;0;19085779;0;0;0
15;15600882;635;Spain;Female;35;7;0;2;1;1;6595165;0;2;0
16;15643966;616;Germany;Male;45;3;14312941;2;0;1;6432726;0;1;1
17;15737452;653;Germany;Male;58;1;13260288;1;1;0;509767;1;1;1
18;15788218;549;Spain;Female;24;9;0;2;1;1;1440641;0;2;0
19;15661507;587;Spain;Male;45;6;0;1;0;0;15868481;0;2;1
20;15568982;726;France;Female;24;6;0;2;1;1;5472403;0;0;0
21;15577657;732;France;Male;41;8;0;2;1;1;17088617;0;0;1
22;15597945;636;Spain;Female;32;8;0;2;1;0;13855546;0;2;0
23;15699309;510;Spain;Female;38;4;0;1;1;0;11891353;1;2;0
24;15725737;669;France;Male;46;3;0;2;0;1;848775;0;0;1
25;15625047;846;France;Female;38;5;0;1;1;1;18761616;0;0;0
26;15738191;577;France;Male;25;3;0;2;0;1;12450829;0;0;1
27;15736816;756;Germany;Male;36;2;13681564;1;1;1;17004195;0;1;1
28;15700772;571;France;Male;44;9;0;2;0;0;3843335;0;0;1
29;15728693;574;Germany;Female;43;3;14134943;1;1;1;10018743;0;1;0
30;15656300;411;France;Male;29;0;5969717;2;1;1;5348321;0;0;1
31;15589475;591;Spain;Female;39;3;0;3;1;0;14046938;1;2;0
32;15706552;533;France;Male;36;7;853117;1;0;1;15673191;0;0;1
33;15750181;553;Germany;Male;41;9;11011254;2;0;0;8189881;0;1;1
34;15659428;520;Spain;Female;42;6;0;2;1;1;3441055;0;2;0
35;15732963;722;Spain;Female;29;9;0;2;1;1;14203307;0;2;0
36;15794171;475;France;Female;45;0;13426404;1;1;0;2782299;1;0;0
37;15788448;490;Spain;Male;31;3;14526023;1;0;1;11406677;0;2;1
38;15729599;804;Spain;Male;33;7;765486;1;0;1;9845345;0;2;1
39;15717426;850;France;Male;36;7;0;1;1;1;408129;0;0;1
40;15585768;582;Germany;Male;41;6;7034948;2;0;1;17807404;0;1;1
41;15619360;472;Spain;Male;40;4;0;1;1;0;7015422;0;2;1
42;15738148;465;France;Female;51;8;12252232;1;0;0;18129765;1;0;0
43;15687946;556;France;Female;61;2;11741935;1;1;1;9415383;0;0;0
44;15755196;834;France;Female;49;2;13139456;1;0;0;19436576;1;0;0
45;15684171;660;Spain;Female;61;5;15593111;1;1;1;15833839;0;2;0
46;15754849;776;Germany;Female;32;4;10942113;2;1;1;12651746;0;1;0
47;15602280;829;Germany;Female;27;9;11204567;1;1;1;11970821;1;1;0
48;15771573;637;Germany;Female;39;9;1378438;1;1;1;1176228;1;1;0
